Name	Abbr	Group	ISSN	eISSN	IF_2025	Five_Year_JIF	JIF_Quartile	JIF_Rank
CA-A CANCER JOURNAL FOR CLINICIANS	CA-CANCER J CLIN	WILEY	0007-9235	1542-4863	232.4	353.0	Q1	1/326
NATURE REVIEWS MICROBIOLOGY	NAT REV MICROBIOL	NATURE PORTFOLIO	1740-1526	1740-1534	103.3	99.1	Q1	1/163
NATURE REVIEWS DRUG DISCOVERY	NAT REV DRUG DISCOV	NATURE PORTFOLIO	1474-1776	1474-1784	101.8	129.8	Q1	1/352
NATURE REVIEWS MOLECULAR CELL BIOLOGY	NAT REV MOL CELL BIO	NATURE PORTFOLIO	1471-0072	1471-0080	90.2	128.7	Q1	1/204
Kidney International Supplements	KIDNEY INT SUPPL	ELSEVIER SCIENCE INC	2157-1724	2157-1716	89.6	26.0	Q1	1/133
LANCET	LANCET	ELSEVIER SCIENCE INC	0140-6736	1474-547X	88.5	104.8	Q1	1/332
Nature Reviews Materials	NAT REV MATER	NATURE PORTFOLIO	2058-8437	2058-8437	86.2	99.8	Q1	1/460
Nature Reviews Clinical Oncology	NAT REV CLIN ONCOL	NATURE PORTFOLIO	1759-4774	1759-4782	82.2	89.9	Q1	2/326
NEW ENGLAND JOURNAL OF MEDICINE	NEW ENGL J MED	MASSACHUSETTS MEDICAL SOC	0028-4793	1533-4406	78.5	84.9	Q1	2/332
Nature Reviews Earth & Environment	NAT REV EARTH ENV	SPRINGERNATURE		2662-138X	71.5	73.7	Q1	1/374
NATURE REVIEWS CANCER	NAT REV CANCER	NATURE PORTFOLIO	1474-175X	1474-1768	66.8	81.0	Q1	3/326
World Psychiatry	WORLD PSYCHIATRY	WILEY	1723-8617	2051-5545	65.8	60.0	Q1	1/288
ANNALS OF ONCOLOGY	ANN ONCOL	ELSEVIER	0923-7534	1569-8041	65.4	46.8	Q1	4/326
Living Reviews in Relativity	LIVING REV RELATIV	SPRINGER INT PUBL AG	2367-3613	1433-8351	62.5	52.4	Q1	1/31
NATURE REVIEWS IMMUNOLOGY	NAT REV IMMUNOL	NATURE PORTFOLIO	1474-1733	1474-1741	60.9	77.6	Q1	1/183
Nature Reviews Disease Primers	NAT REV DIS PRIMERS	NATURE PORTFOLIO	2056-676X	2056-676X	60.6	104.8	Q1	3/332
MMWR Recommendations and Reports	MMWR RECOMM REP	CENTERS DISEASE CONTROL & PREVENTION	1057-5987	1545-8601	60.1	50.0	Q1	1/419
Nature Energy	NAT ENERGY	NATURE PORTFOLIO	2058-7546	2058-7546	60.1	68.9	Q1	2/460
Nature Reviews Methods Primers	NAT REV METHOD PRIME	SPRINGERNATURE		2662-8449	56.0	66.9	Q1	1/135
CHEMICAL REVIEWS	CHEM REV	AMER CHEMICAL SOC	0009-2665	1520-6890	55.8	67.5	Q1	1/239
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	JAMA-J AM MED ASSOC	AMER MEDICAL ASSOC	0098-7484	1538-3598	55.0	64.7	Q1	4/332
Signal Transduction and Targeted Therapy	SIGNAL TRANSDUCT TAR	SPRINGERNATURE	2095-9907	2059-3635	52.7	52.2	Q1	1/319
NATURE REVIEWS GENETICS	NAT REV GENET	NATURE PORTFOLIO	1471-0056	1471-0064	52.0	57.1	Q1	1/191
Nature Reviews Chemistry	NAT REV CHEM	NATURE PORTFOLIO		2397-3358	51.7	49.4	Q1	2/239
Nature Reviews Gastroenterology & Hepatology	NAT REV GASTRO HEPAT	NATURE PORTFOLIO	1759-5045	1759-5053	51.0	72.4	Q1	1/147
NATURE MEDICINE	NAT MED	NATURE PORTFOLIO	1078-8956	1546-170X	50.0	52.4	Q1	1/195
MMWR Surveillance Summaries	MMWR SURVEILL SUMM	CENTERS DISEASE CONTROL & PREVENTION	1545-8636	1545-8636	49.8	34.1	Q1	2/419
NATURE	NATURE	NATURE PORTFOLIO	0028-0836	1476-4687	48.5	55.0	Q1	2/135
IEEE Communications Surveys and Tutorials	IEEE COMMUN SURV TUT	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC		1553-877X	46.7	42.8	Q1	1/258
SCIENCE	SCIENCE	AMER ASSOC ADVANCEMENT SCIENCE	0036-8075	1095-9203	45.8	49.7	Q1	3/135
LANCET NEUROLOGY	LANCET NEUROL	ELSEVIER SCIENCE INC	1474-4422	1474-4465	45.5	56.2	Q1	1/285
REVIEWS OF MODERN PHYSICS	REV MOD PHYS	AMER PHYSICAL SOC	0034-6861	1539-0756	44.8	56.3	Q1	1/114
Nature Catalysis	NAT CATAL	NATURE PORTFOLIO	2520-1158	2520-1158	44.6	47.4	Q1	1/185
CANCER CELL	CANCER CELL	CELL PRESS	1535-6108	1878-3686	44.5	47.2	Q1	5/326
Nature Reviews Cardiology	NAT REV CARDIOL	NATURE PORTFOLIO	1759-5002	1759-5010	44.2	52.9	Q1	1/230
BMJ-British Medical Journal	BMJ-BRIT MED J	BMJ PUBLISHING GROUP	0959-535X	1756-1833	42.7	76.1	Q1	5/332
CELL	CELL	CELL PRESS	0092-8674	1097-4172	42.5	48.9	Q1	3/319
JOURNAL OF CLINICAL ONCOLOGY	J CLIN ONCOL	LIPPINCOTT WILLIAMS & WILKINS	0732-183X	1527-7755	41.9	37.7	Q1	6/326
Lancet Diabetes & Endocrinology	LANCET DIABETES ENDO	ELSEVIER SCIENCE INC	2213-8587	2213-8595	41.8	41.7	Q1	1/191
NATURE BIOTECHNOLOGY	NAT BIOTECHNOL	NATURE PORTFOLIO	1087-0156	1546-1696	41.7	59.5	Q1	2/177
Nature Electronics	NAT ELECTRON	NATURE PORTFOLIO	2520-1131	2520-1131	40.9	42.0	Q1	1/366
Journal of Hematology & Oncology	J HEMATOL ONCOL	BMC		1756-8722	40.4	34.4	Q1	1/98
Nature Reviews Endocrinology	NAT REV ENDOCRINOL	NATURE PORTFOLIO	1759-5029	1759-5037	40.0	47.0	Q1	2/191
PROGRESS IN MATERIALS SCIENCE	PROG MATER SCI	PERGAMON-ELSEVIER SCIENCE LTD	0079-6425	1873-2208	40.0	44.8	Q1	3/460
